animal_name,status
Elephas mnaidriensis,Remove
Elephas namadicus,Remove
Elephas naumanii,Remove
Elephas tiliensis,Remove
Eligmodontia moreni,lc
Eligmodontia morgani,lc
Eligmodontia puerulus,lc
Eligmodontia typus,lc
Eliomys melanurus,lc
Eliomys morpheus,Remove
Eliomys munbyanus,lc
Eliomys quercinus,nt
Eliurus antsingy,dd
Eliurus carletoni,lc
Eliurus danieli,lc
Eliurus ellermani,dd
Eliurus grandidieri,lc
Eliurus majori,lc
Eliurus minor,lc
Eliurus myoxinus,lc
Eliurus penicillatus,en
Eliurus petteri,en
Eliurus tanala,lc
Eliurus webbi,lc
Ellobius alaicus,dd
Ellobius fuscocapillus,lc
Ellobius lutescens,lc
Ellobius talpinus,lc
Ellobius tancrei,lc
Emballonura alecto,lc
Emballonura beccarii,lc
Emballonura dianae,lc
Emballonura furax,lc
Emballonura monticola,lc
Emballonura raffrayana,lc
Emballonura semicaudata,en
Emballonura serii,vu
Enchisthenes hartii,lc
Enhydra lutris,en
Eoglaucomys fimbriatus,lc
Eolagurus luteus,lc
Eolagurus przewalskii,lc
Eonycteris major,nt
Eonycteris robusta,vu
Eonycteris spelaea,lc
Eospalax fontanierii,lc
Eospalax rothschildi,lc
Eospalax smithii,lc
Eothenomys cachinus,lc
Eothenomys chinensis,lc
Eothenomys custos,lc
Eothenomys melanogaster,lc
Eothenomys miletus,lc
Eothenomys olitor,lc
Eothenomys proditor,dd
Eothenomys wardi,nt
Eozapus setchuanus,lc
Episoriculus caudatus,lc
Episoriculus fumidus,lc
Episoriculus leucops,lc
Episoriculus macrurus,lc
Epixerus ebii,lc
Epomophorus angolensis,nt
Epomophorus anselli,dd
Epomophorus crypturus,lc
Epomophorus gambianus,lc
Epomophorus grandis,dd
Epomophorus labiatus,lc
Epomophorus minimus,lc
Epomophorus minor,lc
Epomophorus wahlbergi,lc
Epomops buettikoferi,lc
Epomops dobsonii,lc
Epomops franqueti,lc
Eptesicus andinus,lc
Eptesicus bobrinskoi,dd
Eptesicus bottae,lc
Eptesicus bottae,lc
Eptesicus bottae,lc
Eptesicus brasiliensis,lc
Eptesicus chiriquinus,lc
Eptesicus diminutus,lc
Eptesicus dimissus,dd
Eptesicus floweri,lc
Eptesicus furinalis,lc
Eptesicus fuscus,lc
Eptesicus gobiensis,lc
Eptesicus guadeloupensis,en
Eptesicus hottentotus,lc
Eptesicus innoxius,nt
Eptesicus isabellinus,lc
Eptesicus japonensis,lc
Eptesicus nasutus,lc
Eptesicus nilssonii,lc
Eptesicus pachyotis,lc
Eptesicus platyops,dd
Eptesicus serotinus,lc
Eptesicus serotinus,lc
Eptesicus serotinus,lc
Eptesicus tatei,dd
Equus africanus,cr
Equus ferus,nt
Equus francisci,Remove
Equus grevyi,en
Equus hemionus,lc
Equus hydruntinus,Remove
Equus kiang,lc
Equus ovodovi,Remove
Equus quagga,nt
Equus zebra,vu
Eremitalpa granti,lc
Eremodipus lichtensteini,lc
Eremoryzomys polius,dd
Eremotherium laurillardi,Remove
Erethizon dorsatum,lc
Erignathus barbatus,lc
Erinaceus amurensis,lc
Erinaceus concolor,lc
Erinaceus europaeus,lc
Erinaceus roumanicus,lc
Eropeplus canus,vu
Erophylla bombifrons,lc
Erophylla sezekorni,lc
Erythrocebus patas,cr
Erythrocebus patas,cr
Eschrichtius robustus,lc
Eubalaena australis,lc
Eubalaena glacialis,en
Eubalaena japonica,en
Euceratherium collinum,Remove
Euchoreutes naso,lc
Euderma maculatum,lc
Eudiscopus denticulus,lc
Eudorcas albonotata,Remove
Eudorcas rufifrons,en
Eudorcas rufifrons,en
Eudorcas rufina,Remove
Eudorcas thomsonii,lc
Eulemur albifrons,vu
Eulemur cinereiceps,cr
Eulemur collaris,en
Eulemur coronatus,en
Eulemur flavifrons,cr
Eulemur fulvus,vu
Eulemur macaco,cr
Eulemur mongoz,cr
Eulemur rubriventer,vu
Eulemur rufifrons,vu
Eulemur rufus,vu
Eulemur sanfordi,en
Eumetopias jubatus,nt
Eumops auripendulus,lc
Eumops bonariensis,lc
Eumops bonariensis,lc
Eumops bonariensis,lc
Eumops dabbenei,lc
Eumops floridanus,vu
Eumops glaucinus,lc
Eumops glaucinus,lc
Eumops hansae,lc
Eumops maurus,dd
Eumops patagonicus,lc
Eumops perotis,lc
Eumops trumbulli,lc
Eumops underwoodi,lc
Eumops wilsoni,dd
Euneomys chinchilloides,dd
Euneomys fossor,dd
Euneomys mordax,lc
Euneomys petersoni,lc
Euoticus elegantulus,lc
Euoticus pallidus,nt
Eupetaurus cinereus,en
Euphractus sexcinctus,lc
Eupleres goudotii,en
Eupleres major,en
Euroscaptor grandis,lc
Euroscaptor klossi,lc
Euroscaptor longirostris,lc
Euroscaptor micrura,lc
Euroscaptor mizura,lc
Euroscaptor parvidens,dd
Euroscaptor subanura,dd
Euryoryzomys emmonsae,dd
Euryoryzomys lamia,vu
Euryoryzomys legatus,lc
Euryoryzomys macconnelli,lc
Euryoryzomys nitidus,lc
Euryoryzomys russatus,lc
Euryzygomatomys spinosus,lc
Eutamias sibiricus,lc
Eutatus seguini,Remove
Exilisciurus concinnus,lc
Exilisciurus exilis,dd
Exilisciurus whiteheadi,lc
Falsistrellus affinis,lc
Falsistrellus mackenziei,nt
Falsistrellus mordax,dd
Falsistrellus petersi,dd
Falsistrellus tasmaniensis,vu
Felis bieti,vu
Felis chaus,lc
Felis margarita,lc
Felis nigripes,vu
Felis silvestris,vu
Felovia vae,lc
Feresa attenuata,lc
Feroculus feroculus,en
Fossa fossana,vu
Fukomys anselli,lc
Fukomys bocagei,lc
Fukomys damarensis,lc
Fukomys darlingi,lc
Fukomys foxi,dd
Fukomys kafuensis,vu
Fukomys mechowi,lc
Fukomys mechowi,lc
Fukomys ochraceocinereus,lc
Fukomys zechi,lc
Funambulus layardi,vu
Funambulus palmarum,lc
Funambulus pennantii,lc
Funambulus sublineatus,vu
Funambulus sublineatus,vu
Funambulus tristriatus,lc
Funisciurus anerythrus,lc
Funisciurus bayonii,dd
Funisciurus carruthersi,lc
Funisciurus congicus,lc
Funisciurus duchaillui,dd
Funisciurus isabella,lc
Funisciurus lemniscatus,lc
Funisciurus leucogenys,lc
Funisciurus pyrropus,lc
Funisciurus substriatus,dd
Furipterus horrens,lc
Galago gallarum,lc
Galago matschiei,lc
Galago moholi,lc
Galago senegalensis,lc
Galagoides cocos,lc
Galagoides demidoff,lc
Galagoides granti,lc
Galagoides orinus,vu
Galagoides rondoensis,en
Galagoides thomasi,lc
Galagoides zanzibaricus,nt
Galea comes,dd
Galea flavidens,lc
Galea leucoblephara,lc
Galea musteloides,dd
Galea spixii,lc
Galemys pyrenaicus,en
Galenomys garleppi,dd
Galeopterus variegatus,lc
Galictis cuja,lc
Galictis vittata,lc
Galidia elegans,lc
Galidictis fasciata,vu
Galidictis grandidieri,en
Gazella atlantica,Remove
Gazella bennettii,lc
Gazella bilkis,ex
Gazella cuvieri,vu
Gazella dorcas,ex
Gazella gazella,vu
Gazella gazella,vu
Gazella leptoceros,en
Gazella marica,vu
Gazella saudiya,ex
Gazella spekei,en
Gazella subgutturosa,vu
Gazella tingitana,Remove
Genetta abyssinica,dd
Genetta angolensis,lc
Genetta bourloni,vu
Genetta cristata,vu
Genetta genetta,lc
Genetta johnstoni,nt
Genetta maculata,lc
Genetta pardina,lc
Genetta piscivora,nt
Genetta poensis,dd
Genetta servalina,lc
Genetta thierryi,lc
Genetta tigrina,lc
Genetta victoriae,lc
Geocapromys brownii,en
Geocapromys columbianus,ex
Geocapromys ingrahami,vu
Geocapromys spA,Remove
Geocapromys thoracatus,ex
Geogale aurita,lc
Geomys arenarius,nt
Geomys attwateri,lc
Geomys breviceps,lc
Geomys bursarius,lc
Geomys knoxjonesi,lc
Geomys personatus,lc
Geomys pinetis,lc
Geomys texensis,lc
Geomys tropicalis,en
Georychus capensis,lc
Geoxus valdivianus,lc
Gerbilliscus afra,lc
Gerbilliscus boehmi,lc
Gerbilliscus brantsii,lc
Gerbilliscus gambiana,lc
Gerbilliscus guineae,lc
Gerbilliscus inclusus,lc
Gerbilliscus kempi,lc
Gerbilliscus leucogaster,lc
Gerbilliscus nigricaudus,lc
Gerbilliscus phillipsi,lc
Gerbilliscus robustus,lc
Gerbilliscus validus,lc
Gerbillurus paeba,lc
Gerbillurus setzeri,lc
Gerbillurus tytonis,lc
Gerbillurus vallinus,lc
Gerbillus acticola,dd
Gerbillus agag,dd
Gerbillus amoenus,lc
Gerbillus andersoni,lc
Gerbillus aquilus,lc
Gerbillus bottai,dd
Gerbillus brockmani,dd
Gerbillus burtoni,lc
Gerbillus campestris,lc
Gerbillus cheesmani,lc
Gerbillus cosensis,dd
Gerbillus dasyurus,lc
Gerbillus dunni,lc
Gerbillus famulus,lc
Gerbillus floweri,lc
Gerbillus gerbillus,lc
Gerbillus gleadowi,lc
Gerbillus grobbeni,dd
Gerbillus harwoodi,lc
Gerbillus henleyi,lc
Gerbillus hesperinus,en
Gerbillus hoogstraali,vu
Gerbillus jamesi,dd
Gerbillus juliani,lc
Gerbillus latastei,dd
Gerbillus lowei,dd
Gerbillus mackillingini,lc
Gerbillus maghrebi,lc
Gerbillus mesopotamiae,lc
Gerbillus muriculus,dd
Gerbillus nancillus,dd
Gerbillus nanus,lc
Gerbillus nigeriae,lc
Gerbillus occiduus,dd
Gerbillus percivali,lc
Gerbillus perpallidus,lc
Gerbillus poecilops,lc
Gerbillus principulus,dd
Gerbillus pulvinatus,lc
Gerbillus pusillus,lc
Gerbillus pyramidum,lc
Gerbillus rosalinda,lc
Gerbillus rupicola,lc
Gerbillus simoni,lc
Gerbillus somalicus,dd
Gerbillus stigmonyx,dd
Gerbillus tarabuli,lc
Gerbillus watersi,lc
Giraffa camelopardalis,vu
Glaucomys sabrinus,lc
Glaucomys volans,lc
Glauconycteris alboguttata,lc
Glauconycteris argentata,lc
Glauconycteris beatrix,lc
Glauconycteris curryae,dd
Glauconycteris egeria,dd
Glauconycteris gleni,dd
Glauconycteris humeralis,dd
Glauconycteris kenyacola,dd
