animal_name,status
Dendrolagus notatus,en
Dendrolagus pulcherrimus,cr
Dendrolagus scottae,cr
Dendrolagus spadix,vu
Dendrolagus stellarum,vu
Dendrolagus ursinus,vu
Dendromus insignis,lc
Dendromus kahuziensis,cr
Dendromus kivu,lc
Dendromus lachaisei,dd
Dendromus lovati,lc
Dendromus melanotis,lc
Dendromus mesomelas,lc
Dendromus messorius,lc
Dendromus mystacalis,lc
Dendromus nyikae,lc
Dendromus oreas,lc
Dendromus ruppi,dd
Dendromus vernayi,dd
Dendroprionomys rousseloti,dd
Deomys ferrugineus,lc
Dephomys defua,lc
Dermanura anderseni,lc
Dermanura azteca,lc
Dermanura cinerea,lc
Dermanura glauca,lc
Dermanura glauca,lc
Dermanura gnoma,lc
Dermanura phaeotis,lc
Dermanura phaeotis,lc
Dermanura rosenbergi,dd
Dermanura tolteca,lc
Dermanura watsoni,lc
Desmana moschata,en
Desmodilliscus braueri,lc
Desmodillus auricularis,lc
Desmodus draculae,Remove
Desmodus puntajudensis,Remove
Desmodus rotundus,lc
Desmodus stocki,Remove
Desmomys harringtoni,lc
Desmomys yaldeni,vu
Diabolotherium nordenskioldi,Remove
Diaemus youngi,lc
Dicerorhinus sumatrensis,cr
Diceros bicornis,cr
Diclidurus albus,lc
Diclidurus ingens,dd
Diclidurus isabella,lc
Diclidurus scutatus,lc
Dicroceros spA,Remove
Dicrostonyx groenlandicus,dd
Dicrostonyx hudsonius,lc
Dicrostonyx nelsoni,lc
Dicrostonyx nunatakensis,lc
Dicrostonyx richardsoni,lc
Dicrostonyx torquatus,lc
Dicrostonyx unalascensis,dd
Dicrostonyx vinogradovi,dd
Didelphis albiventris,lc
Didelphis aurita,lc
Didelphis imperfecta,lc
Didelphis marsupialis,lc
Didelphis pernigra,lc
Didelphis virginiana,lc
Dinaromys bogdanovi,vu
Dinomys branickii,lc
Diomys crumpi,dd
Diphylla ecaudata,lc
Diplogale hosei,vu
Diplomesodon pulchellum,lc
Diplomys caniceps,dd
Diplomys labilis,lc
Diplothrix legata,en
Dipodomys agilis,lc
Dipodomys californicus,lc
Dipodomys compactus,lc
Dipodomys deserti,lc
Dipodomys elator,vu
Dipodomys gravipes,cr
Dipodomys heermanni,lc
Dipodomys ingens,en
Dipodomys merriami,lc
Dipodomys microps,lc
Dipodomys nelsoni,lc
Dipodomys nitratoides,vu
Dipodomys ordii,lc
Dipodomys panamintinus,lc
Dipodomys phillipsii,lc
Dipodomys phillipsii,Remove
Dipodomys simulans,lc
Dipodomys spectabilis,nt
Dipodomys stephensi,vu
Dipodomys venustus,lc
Diprotodon optatum,Remove
Dipus sagitta,Remove
Distoechurus pennatus,lc
Dobsonia anderseni,lc
Dobsonia beauforti,lc
Dobsonia chapmani,cr
Dobsonia crenulata,lc
Dobsonia emersa,vu
Dobsonia exoleta,lc
Dobsonia inermis,lc
Dobsonia minor,lc
Dobsonia moluccensis,lc
Dobsonia moluccensis,lc
Dobsonia pannietensis,nt
Dobsonia peronii,lc
Dobsonia praedatrix,lc
Dobsonia viridis,lc
Doedicurus clavicaudatus,Remove
Dolichotis patagonum,nt
Dolichotis salinicola,lc
Dologale dybowskii,dd
Dorcatragus megalotis,vu
Dorcopsis atrata,cr
Dorcopsis hageni,lc
Dorcopsis luctuosa,vu
Dorcopsis muelleri,lc
Dorcopsulus macleayi,lc
Dorcopsulus vanheurni,nt
Dremomys everetti,lc
Dremomys gularis,dd
Dremomys lokriah,lc
Dremomys pernyi,lc
Dremomys pyrrhomerus,lc
Dremomys rufigenis,lc
Dromiciops gliroides,nt
Dryomys laniger,dd
Dryomys niethammeri,vu
Dryomys nitedula,lc
Dugong dugon,vu
Dusicyon australis,ex
Dusicyon avus,ex
Dyacopterus brooksi,vu
Dyacopterus spadiceus,en
Dymecodon pilirostris,lc
Echimys chrysurus,lc
Echimys saturnus,dd
Echimys vieirai,dd
Echinops telfairi,lc
Echinosorex gymnura,lc
Echiothrix centrosa,nt
Echiothrix leucura,en
Echymipera clara,lc
Echymipera davidi,en
Echymipera echinista,dd
Echymipera kalubu,lc
Echymipera rufescens,lc
Ectophylla alba,nt
Eidolon dupreanum,vu
Eidolon helvum,nt
Eira barbara,lc
Elaphodus cephalophus,nt
Elaphurus davidianus,ew
Elasmotherium sibiricum,Remove
Elephantulus brachyrhynchus,lc
Elephantulus edwardii,lc
Elephantulus fuscipes,dd
Elephantulus fuscus,dd
Elephantulus intufi,lc
Elephantulus myurus,lc
Elephantulus pilicaudus,dd
Elephantulus revoilii,dd
Elephantulus rozeti,lc
Elephantulus rufescens,lc
Elephantulus rupestris,lc
Elephas antiquus,Remove
Elephas cypriotes,Remove
Elephas iolensis,Remove
Elephas maximus,en
