animal_name,status
Hipposideros nequam,dd
Hipposideros obscurus,lc
Hipposideros orbiculus,vu
Hipposideros papua,lc
Hipposideros pelingensis,nt
Hipposideros pomona,en
Hipposideros pratti,lc
Hipposideros pygmaeus,lc
Hipposideros ridleyi,vu
Hipposideros rotalis,lc
Hipposideros ruber,lc
Hipposideros scutinares,vu
Hipposideros semoni,lc
Hipposideros sorenseni,en
Hipposideros speoris,lc
Hipposideros stenotis,vu
Hipposideros sumbae,lc
Hipposideros thomensis,lc
Hipposideros turpis,en
Hipposideros turpis,en
Hipposideros turpis,en
Hipposideros vittatus,nt
Hipposideros wollastoni,lc
Hippotragus equinus,lc
Hippotragus leucophaeus,ex
Hippotragus niger,lc
Histiotus alienus,dd
Histiotus humboldti,dd
Histiotus laephotis,lc
Histiotus macrotus,lc
Histiotus magellanicus,lc
Histiotus montanus,lc
Histiotus velatus,dd
Histriophoca fasciata,lc
Hodomys alleni,lc
Holmesina occidentalis,Remove
Holmesina paulacoutoi,Remove
Holmesina septentrionalis,Remove
Holochilus brasiliensis,lc
Holochilus chacarius,lc
Holochilus sciureus,lc
Homo floresiensis,Remove
Homo neanderthalensis,Remove
Homo sapiens,Remove
Homo spDenisova,Remove
Homotherium latidens,Remove
Homotherium serum,Remove
Hoolock hoolock,en
Hoolock leuconedys,Remove
Hoolock leuconedys,vu
Hoplomys gymnurus,lc
Hoplophorus euphractus,Remove
Huetia leucorhina,dd
Hyaena hyaena,nt
Hybomys badius,en
Hybomys badius,en
Hybomys basilii,en
Hybomys lunaris,vu
Hybomys planifrons,lc
Hybomys trivirgatus,lc
Hybomys univittatus,lc
Hydrictis maculicollis,nt
Hydrochoerus hydrochaeris,lc
Hydrochoerus isthmius,dd
Hydrodamalis gigas,ex
Hydromys chrysogaster,lc
Hydromys hussoni,dd
Hydromys neobritannicus,dd
Hydromys ziegleri,dd
Hydropotes inermis,vu
Hydrurga leptonyx,Remove
Hyemoschus aquaticus,Remove
Hyladelphys kalinowskii,lc
Hylaeamys acritus,dd
Hylaeamys laticeps,vu
Hylaeamys megacephalus,lc
Hylaeamys oniscus,nt
Hylaeamys perenensis,lc
Hylaeamys tatei,dd
Hylaeamys yunganus,lc
Hylobates agilis,en
Hylobates albibarbis,en
Hylobates klossii,en
Hylobates lar,en
Hylobates moloch,en
Hylobates muelleri,en
Hylobates muelleri,en
Hylobates muelleri,en
Hylobates pileatus,en
Hylochoerus meinertzhageni,lc
Hylomys megalotis,dd
Hylomys parvus,vu
Hylomys suillus,lc
Hylomyscus aeta,lc
Hylomyscus alleni,lc
Hylomyscus baeri,en
Hylomyscus carillus,lc
Hylomyscus denniae,lc
Hylomyscus denniae,lc
Hylomyscus denniae,lc
Hylomyscus denniae,lc
Hylomyscus denniae,lc
Hylomyscus denniae,lc
Hylomyscus denniae,lc
Hylomyscus grandis,en
Hylomyscus pamfi,dd
Hylomyscus parvus,lc
Hylomyscus stella,lc
Hylomyscus walterverheyeni,lc
Hylonycteris underwoodi,lc
Hylopetes alboniger,lc
Hylopetes bartelsi,dd
Hylopetes lepidus,dd
Hylopetes nigripes,nt
Hylopetes phayrei,lc
Hylopetes platyurus,dd
Hylopetes sipora,en
Hylopetes spadiceus,lc
Hylopetes winstoni,dd
Hyomys dammermani,dd
Hyomys goliath,lc
Hyosciurus heinrichi,lc
Hyosciurus ileile,vu
Hyperacrius fertilis,nt
Hyperacrius wynnei,lc
Hyperoodon ampullatus,nt
Hyperoodon planifrons,lc
Hypogeomys antimena,en
Hypogeomys australis,Remove
Hypsignathus monstrosus,lc
Hypsiprymnodon moschatus,lc
Hypsugo anthonyi,dd
Hypsugo joffrei,dd
Hypsugo kitcheneri,dd
Hypsugo lophurus,dd
Hypsugo macrotis,dd
Hypsugo savii,lc
Hypsugo vordermanni,dd
Hystrix africaeaustralis,lc
Hystrix brachyura,lc
Hystrix crassispinis,lc
Hystrix cristata,lc
Hystrix indica,lc
Hystrix javanica,lc
Hystrix kiangsenensis,Remove
Hystrix pumila,vu
Hystrix refossa,Remove
Hystrix sumatrae,lc
Ia io,nt
Ichneumia albicauda,lc
Ichthyomys hydrobates,lc
Ichthyomys pittieri,nt
Ichthyomys stolzmanni,dd
Ichthyomys tweedii,dd
Ictidomys mexicanus,lc
Ictidomys tridecemlineatus,lc
Ictonyx libycus,lc
Ictonyx striatus,lc
Idionycteris phyllotis,lc
Idiurus macrotis,lc
Idiurus zenkeri,lc
Indopacetus pacificus,lc
Indri indri,cr
Inia geoffrensis,en
Insulacebus toussaintiana,Remove
Iomys horsfieldii,lc
Iomys sipora,en
Irenomys tarsalis,lc
Isolobodon montanus,ex
Isolobodon portoricensis,ex
Isoodon auratus,vu
Isoodon macrourus,lc
Isoodon obesulus,lc
Isothrix barbarabrownae,dd
Isothrix bistriata,lc
Isothrix negrensis,lc
Isothrix orinoci,Remove
Isothrix pagurus,lc
Isothrix sinnamariensis,lc
Isthmomys flavidus,nt
Isthmomys pirrensis,lc
Jaculus blanfordi,lc
Jaculus jaculus,lc
Jaculus orientalis,lc
Jaculus thaleri,dd
Juliomys pictipes,lc
Juliomys rimofrons,nt
Juscelinomys candango,ex
Juscelinomys guaporensis,dd
Juscelinomys huanchacae,dd
Kadarsanomys sodyi,en
Kannabateomys amblyonyx,lc
Kerivoula africana,en
Kerivoula agnella,en
Kerivoula argentata,lc
Kerivoula cuprosa,dd
Kerivoula eriophora,dd
Kerivoula flora,vu
Kerivoula hardwickii,lc
Kerivoula hardwickii,lc
Kerivoula hardwickii,lc
Kerivoula hardwickii,lc
Kerivoula hardwickii,lc
Kerivoula hardwickii,lc
Kerivoula intermedia,nt
Kerivoula kachinensis,lc
Kerivoula krauensis,nt
Kerivoula lanosa,lc
Kerivoula lenis,lc
Kerivoula minuta,nt
Kerivoula muscina,lc
Kerivoula myrella,vu
Kerivoula papillosa,lc
Kerivoula pellucida,nt
Kerivoula phalaena,lc
Kerivoula picta,nt
Kerivoula smithii,lc
Kerivoula titania,lc
Kerivoula whiteheadi,lc
Kerodon acrobata,dd
Kerodon rupestris,lc
Kobus ellipsiprymnus,lc
Kobus kob,lc
Kobus leche,nt
Kobus megaceros,en
Kobus vardonii,nt
