animal_name,status,order,adult_mass_g,neonate_mass_g,brain_mass_g,adult_body_length_mm,dphy_plant,dphy_vertebrate,dphy_invertebrate,trophic_level,det_diet_breadth_n,foraging_stratum,habitat_breadth_n,activity_cycle,fossoriality,hibernation_torpor,max_longevity_d,litter_size_n,litters_per_year_y,interbirth_interval_d,gestation_length_d,weaning_age_d,female_maturity_d,age_first_reproduction_d,generation_length_d,density_n_km2,altitude_breadth,dispersal_km
Cuscomys oblativa,dd,Rodentia,514.8,35.3098175,4.869449329,318.508675,100.0,0.0,0.0,1,1,G,2,1,1,0,1465.11,2.066612917,1.87897,132.0148727,103.6164943,39.85274266,290.8127353,363.3033472,1092.325731,711.2220786,1281.796333,0.735710681
Cyclopes didactylus,lc,Pilosa,251.975,147.609129,11.97994219,191.09,0.0,0.0,100.0,3,1,Ar,1,1,2,0,839.5,1.0,1.098462536,355.9655779,215.74456,152.18,601.1544745,758.1486509,2365.350077,77.0,1500.0,3.308099084
Cynictis penicillata,lc,Carnivora,598.5,48.29314475,10.86764,335.935,0.0,10.0,90.0,3,1,G,3,3,1,0,5548.0,2.0,2.0,364.750171,56.00224,60.872,730.0,406.985,1930.60005,15.24082269,2022.693,5.054460332
Cynocephalus volans,lc,Dermoptera,1250.0,35.9,11.59791993,379.43,100.0,0.0,0.0,1,1,Ar,2,1,2,0,6387.5,1.0,1.182670108,367.8841935,105.0,187.80212,656.1206789,769.0983537,2537.814012,313.3829235,1432.736333,1.198412616
Cynogale bennettii,en,Carnivora,4123.285,150.7250145,31.03856,649.77,20.0,50.0,30.0,2,4,G,2,2,1,0,1882.791667,2.15,1.75119,221.4975086,64.01014635,86.27137078,558.616505,669.0,1825.0,67.07660609,1370.0,2.310413481
Cynomops abrasus,dd,Chiroptera,35.39,5.36503,0.418,89.39467,0.0,0.0,100.0,3,1,A,1,1,2,1,4288.779968,0.98,1.12745,358.1990278,73.63740936,52.67559013,349.6284381,420.6097139,1793.149025,1703.313343,1172.956,
Cynomops greenhalli,lc,Chiroptera,15.87,3.19494,0.3,60.0,0.0,0.0,100.0,3,1,A,1,1,2,1,4357.504585,0.99,1.05952,361.7310789,82.8284814,50.44909927,363.5388206,443.8296942,1845.716732,1815.307325,1477.647,
Cynomops mexicanus,lc,Chiroptera,20.0,4.02908385,0.408915255,76.0,0.0,0.0,100.0,3,1,A,1,1,2,1,3677.870967,1.0101225,1.10218,360.7813944,76.95844318,55.17399494,342.3290029,405.0051069,1607.913143,1736.412778,1500.0,
Cynomops milleri,lc,Chiroptera,12.16,3.010035,0.260766515,66.0,0.0,0.0,100.0,3,1,A,1,1,2,0,2657.865369,1.010800833,1.088685,360.0933206,81.85342658,51.64551856,333.2056904,405.0804018,1449.518749,1925.904904,350.0,
Cynomops paranus,dd,Chiroptera,12.16,3.010165,0.257784015,66.0,0.0,0.0,100.0,3,1,A,1,1,2,0,2640.946483,1.012505833,1.085935,360.178987,81.91680682,52.29171178,332.3290198,405.3914818,1444.312548,1912.335851,558.265,
Cynomops planirostris,lc,Chiroptera,12.84,2.83465,0.185,66.0,0.0,0.0,100.0,3,1,A,1,1,2,1,3917.289227,1.0,1.0904,360.9523023,81.76501986,50.87898517,347.5969222,414.4451261,1672.985624,1814.340708,1293.035,
Cynomys gunnisoni,lc,Rodentia,807.3,18.7229955,5.329073548,304.56,100.0,0.0,0.0,1,1,G,2,3,1,1,2217.375,4.48,1.0,365.0,30.0,36.65,374.02162,404.02162,1057.11925,669.1,1830.0,0.942269403
Cynomys leucurus,lc,Rodentia,918.63,19.28964733,5.96843871,318.745,100.0,0.0,0.0,1,1,G,2,3,1,1,2339.041667,5.48,1.0,450.6700169,30.39,34.38,568.3475,598.7375,1372.118025,969.68334,1513.676,1.011656808
Cynomys ludovicianus,lc,Rodentia,1125.0,15.75,5.86436875,330.0,100.0,0.0,0.0,1,1,G,3,3,1,1,6570.0,4.43,1.0,820.687885,35.41506,47.22,798.64064,728.63,1567.7682,1830.0,1961.566,1.130940489
Cynomys mexicanus,en,Rodentia,864.04,22.136532,5.714403333,335.545,100.0,0.0,0.0,1,1,G,1,3,1,1,3941.761837,4.5,1.0,585.7769329,30.41,46.26272,651.6597334,665.061434,1570.097145,1243.024122,1344.871,0.978136537
Cynomys parvidens,en,Rodentia,807.3,23.40432933,5.807816,288.47,100.0,0.0,0.0,2,1,G,1,3,1,1,2247.791667,4.875,1.0,476.4623259,30.0,36.65,368.231,398.231,1084.853141,3824.99,1200.0,0.942269403
Cynopterus brachyotis,lc,Chiroptera,37.4,11.0,0.88,112.995,100.0,0.0,0.0,1,1,Ar,2,1,2,0,3686.5,1.1,2.0,228.0148662,120.0,42.0,251.71,368.77,1287.664,1777.991263,1600.0,
Cynopterus horsfieldii,lc,Chiroptera,56.955,13.99076683,1.23,120.1701219,100.0,0.0,0.0,1,1,Ar,3,1,2,0,942.9166665,2.0,1.93163,238.4616661,152.2,40.0,213.08,365.28,1208.035569,1737.139501,1460.0,
Cynopterus luzoniensis,lc,Chiroptera,37.2,8.6,1.101615886,98.99,100.0,0.0,0.0,1,1,Ar,2,1,2,0,3686.5,1.0,2.0,227.9696675,120.0,45.495,200.855,320.855,1322.134111,1619.789091,1600.0,
Cynopterus minutus,lc,Chiroptera,37.3,11.0,1.02096529,112.995,100.0,0.0,0.0,1,1,Ar,2,1,2,0,3686.5,1.1,2.0,228.3830743,120.0,42.0,251.71,371.71,1327.408818,1884.648846,985.3923333,
Cynopterus nusatenggara,lc,Chiroptera,36.44,8.314315,0.966842356,101.1926933,100.0,0.0,0.0,1,1,Ar,2,1,2,0,4312.558342,1.00144,1.649475,256.8956549,134.2666978,68.08280333,514.9407625,650.9979582,1938.838191,1603.976816,1244.243,
Cynopterus sphinx,lc,Chiroptera,37.4,11.0,1.061,112.995,100.0,0.0,0.0,1,1,Ar,2,1,2,0,3686.5,1.1,2.0,225.8011406,120.0,42.0,251.71,319.37,1285.2527,1729.728039,400.0,
Cynopterus titthaecheilus,lc,Chiroptera,41.055,11.0,1.056894269,112.995,100.0,0.0,0.0,1,1,Ar,2,1,2,0,3686.5,1.0,2.0,228.0496002,120.0,42.0,251.71,371.71,1326.736363,1877.468211,800.0,
Cystophora cristata,vu,Carnivora,245448.405,18690.795,471.38,2811.53,0.0,80.0,20.0,2,2,M,3,2,1,0,12775.0,1.0,1.05,364.750171,334.58,9.1308,1095.75,1387.0,3650.0,0.004822132,1243.842,
Cyttarops alecto,lc,Chiroptera,5.3,1.41367,0.175,55.0,0.0,0.0,100.0,3,1,A,2,1,2,0,4933.928722,1.0047375,1.101715,359.6187607,117.081365,56.3473344,348.4010933,425.9974141,1804.726875,2146.448431,801.892,
