animal_name,status
Madromys blanfordi,lc
Makalata didelphoides,lc
Makalata macrura,lc
Makalata obscura,dd
Malacomys cansdalei,lc
Malacomys edwardsi,lc
Malacomys longipes,lc
Malacothrix typica,lc
Mallomys aroaensis,lc
Mallomys gunung,en
Mallomys istapantap,lc
Mallomys rothschildi,lc
Malpaisomys insularis,Remove
Mammelomys lanosus,lc
Mammelomys rattoides,lc
Mammut americanum,Remove
Mammuthus columbi,Remove
Mammuthus exilis,Remove
Mammuthus primigenius,Remove
Mandrillus leucophaeus,en
Mandrillus sphinx,vu
Manis crassicaudata,en
Manis culionensis,cr
Manis javanica,cr
Manis paleojavanica,Remove
Manis pentadactyla,cr
Maokopia ronaldi,Remove
Margaretamys beccarii,dd
Margaretamys elegans,nt
Margaretamys parvus,dd
Marmosa alstoni,lc
Marmosa andersoni,dd
Marmosa constantiae,lc
Marmosa demerarae,lc
Marmosa lepida,lc
Marmosa mexicana,lc
Marmosa murina,lc
Marmosa paraguayanus,lc
Marmosa phaea,vu
Marmosa quichua,lc
Marmosa regina,lc
Marmosa robinsoni,lc
Marmosa rubra,dd
Marmosa tyleriana,dd
Marmosa xerophila,vu
Marmosops bishopi,lc
Marmosops cracens,dd
Marmosops creightoni,dd
Marmosops fuscatus,dd
Marmosops handleyi,cr
Marmosops impavidus,lc
Marmosops impavidus,lc
Marmosops incanus,lc
Marmosops invictus,lc
Marmosops juninensis,vu
Marmosops neblina,lc
Marmosops noctivagus,lc
Marmosops ocellatus,lc
Marmosops pakaraimae,vu
Marmosops parvidens,lc
Marmosops paulensis,lc
Marmosops pinheiroi,lc
Marmota baibacina,lc
Marmota bobak,lc
Marmota broweri,lc
Marmota caligata,lc
Marmota camtschatica,lc
Marmota caudata,lc
Marmota flaviventris,lc
Marmota himalayana,lc
Marmota marmota,lc
Marmota menzbieri,vu
Marmota monax,lc
Marmota olympus,lc
Marmota sibirica,en
Marmota vancouverensis,cr
Martes americana,lc
Martes flavigula,vu
Martes foina,lc
Martes gwatkinsii,vu
Martes martes,lc
Martes melampus,lc
Martes pennanti,lc
Martes zibellina,lc
Massoutiera mzabi,lc
Mastacomys fuscus,nt
Mastomys awashensis,lc
Mastomys coucha,lc
Mastomys erythroleucus,lc
Mastomys huberti,lc
Mastomys kollmannspergeri,lc
Mastomys natalensis,lc
Mastomys pernanus,dd
Mastomys shortridgei,lc
Maxomys alticola,lc
Maxomys baeodon,dd
Maxomys bartelsii,lc
Maxomys dollmani,dd
Maxomys hellwaldii,lc
Maxomys hylomyoides,dd
Maxomys inas,lc
Maxomys inflatus,vu
Maxomys moi,lc
Maxomys musschenbroekii,lc
Maxomys ochraceiventer,dd
Maxomys pagensis,vu
Maxomys panglima,lc
Maxomys rajah,vu
Maxomys surifer,lc
Maxomys tajuddinii,lc
Maxomys wattsi,en
Maxomys whiteheadi,vu
Mazama americana,dd
Mazama bororo,vu
Mazama bricenii,vu
Mazama chunyi,vu
Mazama gouazoubira,lc
Mazama nana,vu
Mazama nemorivaga,lc
Mazama pandora,vu
Mazama rufina,vu
Mazama temama,dd
Megaceroides algericus,Remove
Megadendromus nikolausi,vu
Megaderma lyra,lc
Megaderma spasma,lc
Megadontomys cryophilus,en
Megadontomys nelsoni,en
Megadontomys thomasi,en
Megaerops ecaudatus,lc
Megaerops kusnotoi,vu
Megaerops niphanae,lc
Megaerops wetmorei,vu
Megaladapis edwardsi,Remove
Megaladapis grandidieri,Remove
Megaladapis madagascariensis,Remove
Megalibgwilia ramsayi,Remove
Megaloceros giganteus,Remove
Megalocnus rodens,Remove
Megalocnus zile,Remove
Megaloglossus azagnyi,lc
Megaloglossus woermanni,lc
Megalomys audreyae,Remove
Megalomys desmarestii,ex
Megalomys georginae,Remove
Megalomys luciae,ex
Megalonyx jeffersonii,Remove
Megalotragus priscus,Remove
Megalovis guangxiensis,Remove
Megaoryzomys curioi,ex
Megaoryzomys spA,Remove
Megaptera novaeangliae,lc
Megasorex gigas,lc
Megatherium americanum,Remove
Megatherium tarijense,Remove
Melanomys caliginosus,lc
Melanomys robustulus,lc
Melanomys zunigae,cr
Melasmothrix naso,dd
Meles anakuma,lc
Meles leucurus,lc
Meles meles,lc
Mellivora capensis,lc
Melogale cucphuongensis,dd
Melogale everetti,en
Melogale moschata,lc
Melogale orientalis,lc
Melogale personata,lc
Melomys aerosus,en
Melomys arcium,dd
Melomys bannisteri,en
Melomys bougainville,dd
Melomys burtoni,lc
Melomys capensis,lc
Melomys caurinus,en
Melomys cervinipes,lc
Melomys cooperae,dd
Melomys dollmani,lc
Melomys fraterculus,en
Melomys frigicola,lc
Melomys fulgens,dd
Melomys howi,dd
Melomys leucogaster,lc
Melomys lutillus,lc
Melomys matambuai,en
Melomys obiensis,lc
Melomys paveli,dd
Melomys rubicola,ex
Melomys rufescens,lc
Melomys talaudium,en
Melonycteris fardoulisi,nt
Melonycteris melanops,lc
Melonycteris woodfordi,lc
Melursus ursinus,vu
Menetes berdmorei,lc
Mephitis macroura,lc
Mephitis mephitis,lc
Meriones arimalius,lc
Meriones chengi,lc
Meriones crassus,lc
Meriones dahli,cr
Meriones grandis,lc
Meriones hurrianae,lc
Meriones libycus,lc
Meriones meridianus,lc
Meriones persicus,lc
Meriones rex,lc
Meriones sacramenti,vu
Meriones shawi,lc
Meriones tamariscinus,lc
Meriones tristrami,lc
Meriones unguiculatus,lc
Meriones vinogradovi,lc
Meriones zarudnyi,dd
Mesechinus dauuricus,lc
Mesechinus hughi,lc
Mesembriomys gouldii,vu
Mesembriomys macrurus,nt
Mesocapromys angelcabrerai,cr
Mesocapromys auritus,en
Mesocapromys nanus,cr
Mesocapromys sanfelipensis,cr
Mesocricetus auratus,en
Mesocricetus brandti,nt
Mesocricetus newtoni,nt
Mesocricetus raddei,lc
Mesocricetus rathgeberi,Remove
Mesomys hispidus,lc
Mesomys leniceps,dd
Mesomys occultus,lc
Mesomys stimulax,lc
Mesophylla macconnelli,lc
Mesoplodon bidens,lc
Mesoplodon bowdoini,dd
Mesoplodon carlhubbsi,dd
Mesoplodon densirostris,lc
Mesoplodon europaeus,lc
Mesoplodon ginkgodens,dd
Mesoplodon ginkgodens,dd
Mesoplodon grayi,lc
Mesoplodon hectori,dd
Mesoplodon layardii,lc
Mesoplodon mirus,lc
Mesoplodon perrini,en
Mesoplodon peruvianus,lc
Mesoplodon stejnegeri,nt
Mesoplodon traversii,dd
Mesopropithecus globiceps,Remove
Mesopropithecus pithecoides,Remove
Metachirus nudicaudatus,lc
Metasthenurus newtonae,Remove
Metridiochoerus compactus,Remove
Mico acariensis,lc
Mico argentatus,lc
Mico chrysoleucos,lc
Mico emiliae,lc
Mico humeralifer,nt
Mico humilis,lc
Mico intermedius,lc
Mico leucippe,lc
Mico marcai,vu
Mico mauesi,lc
Mico melanurus,nt
Mico nigriceps,nt
Mico rondoni,vu
Mico saterei,lc
Microakodontomys transitorius,en
Microcavia australis,lc
Microcavia niata,lc
Microcavia shiptoni,lc
Microcebus arnholdi,vu
Microcebus berthae,cr
Microcebus bongolavensis,en
Microcebus danfossi,vu
Microcebus gerpi,cr
Microcebus griseorufus,lc
Microcebus jollyae,en
Microcebus lehilahytsara,nt
Microcebus macarthurii,en
Microcebus mamiratra,en
Microcebus margotmarshae,en
Microcebus marohita,cr
Microcebus mittermeieri,nt
Microcebus murinus,lc
Microcebus murinus,lc
Microcebus murinus,lc
Microcebus myoxinus,vu
Microcebus ravelobensis,vu
Microcebus rufus,vu
Microcebus sambiranensis,en
Microcebus simmonsi,en
Microcebus simmonsi,en
Microcebus tavaratra,vu
Microdillus peeli,dd
Microdipodops megacephalus,lc
Microdipodops pallidus,lc
Microgale brevicaudata,lc
Microgale cowani,lc
Microgale dobsoni,lc
Microgale drouhardi,lc
Microgale dryas,vu
Microgale fotsifotsy,lc
Microgale gracilis,lc
Microgale grandidieri,lc
Microgale gymnorhyncha,lc
Microgale jenkinsae,en
Microgale jobihely,en
Microgale longicaudata,lc
Microgale macpheei,Remove
Microgale majori,lc
Microgale monticola,vu
Microgale nasoloi,vu
Microgale parvula,lc
Microgale principula,lc
Microgale pusilla,lc
Microgale soricoides,lc
Microgale taiva,lc
Microgale talazaci,lc
Microgale thomasi,lc
Microhydromys argenteus,dd
Microhydromys richardsoni,dd
Micromys minutus,lc
Micronycteris brosseti,dd
Micronycteris buriri,dd
Micronycteris giovanniae,dd
Micronycteris hirsuta,lc
Micronycteris matses,dd
Micronycteris megalotis,lc
Micronycteris microtis,lc
Micronycteris minuta,lc
Micronycteris sanborni,lc
Micronycteris schmidtorum,lc
Microperoryctes aplini,vu
Microperoryctes longicauda,lc
Microperoryctes longicauda,lc
Microperoryctes murina,vu
Microperoryctes papuensis,lc
Micropotamogale lamottei,vu
Micropotamogale ruwenzorii,lc
Micropteropus intermedius,dd
Micropteropus pusillus,lc
Microryzomys altissimus,lc
Microryzomys minutus,lc
Microsciurus alfari,lc
Microsciurus flaviventer,lc
